         58359707 function calls (56611942 primitive calls) in 280.193 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:646(_validate_hash_pyc)
        1    0.000    0.000    0.000    0.000 typing.py:1230(__hash__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
        2    0.000    0.000    0.000    0.000 dearpygui.py:2525(theme)
       10    0.000    0.000    0.000    0.000 typing.py:218(<listcomp>)
        5    0.000    0.000    0.000    0.000 typing.py:1225(__eq__)
        2    0.000    0.000    0.000    0.000 dearpygui.py:2554(theme_component)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
        1    0.000    0.000    0.000    0.000 dearpygui.py:7272(create_viewport)
        1    0.000    0.000    0.000    0.000 random.py:219(__init_subclass__)
        1    0.000    0.000    0.000    0.000 dearpygui.py:8669(set_primary_window)
        3    0.000    0.000    0.000    0.000 Essaim.py:34(__init__)
        1    0.000    0.000    0.000    0.000 dearpygui.py:6751(add_theme_color)
        2    0.000    0.000    0.000    0.000 inspect.py:277(isfunction)
        1    0.000    0.000    0.000    0.000 Obstacle.py:4(Obstacle)
        1    0.000    0.000    0.000    0.000 dearpygui.py:8741(setup_dearpygui)
        1    0.000    0.000    0.000    0.000 Particule.py:7(Particule)
        1    0.000    0.000    0.002    0.002 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        1    0.000    0.000    0.000    0.000 random.py:119(__init__)
        1    0.000    0.000    0.000    0.000 dearpygui.py:7128(bind_theme)
        1    0.000    0.000    0.000    0.000 random.py:813(SystemRandom)
        1    0.000    0.000    0.000    0.000 couleurs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method dearpygui._dearpygui.bind_theme}
        2    0.000    0.000    0.000    0.000 {built-in method math.log}
        1    0.000    0.000    0.000    0.000 Rectangle.py:4(Rectangle)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 Rectangle.py:16(DebugRectangle)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
        1    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        1    0.000    0.000    0.000    0.000 __init__.py:1(<module>)
